TIME_PERIOD;SEXO;EDAD;MEDIDAS;TERRITORIO;OBSERVACIONES
1999;Mujeres;De 55 a 64 años;Defunciones;La Gomera;5
1999;Mujeres;De 55 a 64 años;Defunciones;Gran Canaria;184
1999;Mujeres;De 55 a 64 años;Defunciones;Fuerteventura;6
1999;Mujeres;De 55 a 64 años;Defunciones;El Hierro;1
1999;Mujeres;De 55 a 64 años;Defunciones;Canarias;402
1999;Mujeres;De 45 a 54 años;Defunciones;Tenerife;88
1999;Mujeres;De 45 a 54 años;Defunciones;Lanzarote;11
1999;Mujeres;De 45 a 54 años;Defunciones;La Palma;11
1999;Mujeres;De 45 a 54 años;Defunciones;La Gomera;0
1999;Mujeres;De 45 a 54 años;Defunciones;Gran Canaria;110
1999;Mujeres;De 45 a 54 años;Defunciones;Fuerteventura;4
1999;Mujeres;De 45 a 54 años;Defunciones;El Hierro;1
1999;Mujeres;De 45 a 54 años;Defunciones;Canarias;225
1999;Mujeres;De 35 a 44 años;Defunciones;Tenerife;59
1999;Mujeres;De 35 a 44 años;Defunciones;Lanzarote;7
1999;Mujeres;De 35 a 44 años;Defunciones;La Palma;3
1999;Mujeres;De 35 a 44 años;Defunciones;La Gomera;1
1999;Mujeres;De 35 a 44 años;Defunciones;Gran Canaria;53
1999;Mujeres;De 35 a 44 años;Defunciones;Fuerteventura;2
1999;Mujeres;De 35 a 44 años;Defunciones;El Hierro;1
1999;Mujeres;De 35 a 44 años;Defunciones;Canarias;126
1999;Mujeres;De 25 a 34 años;Defunciones;Tenerife;23
1999;Mujeres;De 25 a 34 años;Defunciones;Lanzarote;4
1999;Mujeres;De 25 a 34 años;Defunciones;La Palma;3
1999;Mujeres;De 25 a 34 años;Defunciones;La Gomera;2
1999;Mujeres;De 25 a 34 años;Defunciones;Gran Canaria;25
1999;Mujeres;De 25 a 34 años;Defunciones;Fuerteventura;4
1999;Mujeres;De 25 a 34 años;Defunciones;El Hierro;0
1999;Mujeres;De 25 a 34 años;Defunciones;Canarias;61
1999;Mujeres;De 1 a 4 años;Defunciones;Tenerife;4
1999;Mujeres;De 1 a 4 años;Defunciones;Lanzarote;0
1999;Mujeres;De 1 a 4 años;Defunciones;La Palma;1
1999;Mujeres;De 1 a 4 años;Defunciones;La Gomera;0
1999;Mujeres;De 1 a 4 años;Defunciones;Gran Canaria;8
1999;Mujeres;De 1 a 4 años;Defunciones;Fuerteventura;0
1999;Mujeres;De 1 a 4 años;Defunciones;El Hierro;0
1999;Mujeres;De 1 a 4 años;Defunciones;Canarias;13
1999;Mujeres;De 15 a 24 años;Defunciones;Tenerife;18
1999;Mujeres;De 15 a 24 años;Defunciones;Lanzarote;1
1999;Mujeres;De 15 a 24 años;Defunciones;La Palma;1
1999;Mujeres;De 15 a 24 años;Defunciones;La Gomera;0
1999;Mujeres;De 15 a 24 años;Defunciones;Gran Canaria;15
1999;Mujeres;De 15 a 24 años;Defunciones;Fuerteventura;5
1999;Mujeres;De 15 a 24 años;Defunciones;El Hierro;0
1999;Mujeres;De 15 a 24 años;Defunciones;Canarias;40
1999;Mujeres;Total;Defunciones;Tenerife;2271
1999;Mujeres;Total;Defunciones;Lanzarote;198
1999;Mujeres;Total;Defunciones;La Palma;364
1999;Mujeres;Total;Defunciones;La Gomera;56
1999;Mujeres;Total;Defunciones;Gran Canaria;2403
1999;Mujeres;Total;Defunciones;Fuerteventura;96
1999;Mujeres;Total;Defunciones;El Hierro;32
1999;Mujeres;Total;Defunciones;Canarias;5420
1999;Mujeres;Menos de 7 días;Defunciones;Tenerife;10
1999;Mujeres;Menos de 7 días;Defunciones;Lanzarote;2
1999;Mujeres;Menos de 7 días;Defunciones;La Palma;1
1999;Mujeres;Menos de 7 días;Defunciones;La Gomera;1
1999;Mujeres;Menos de 7 días;Defunciones;Gran Canaria;6
1999;Mujeres;Menos de 7 días;Defunciones;Fuerteventura;1
1999;Mujeres;Menos de 7 días;Defunciones;El Hierro;0
1999;Mujeres;Menos de 7 días;Defunciones;Canarias;21
1999;Mujeres;De 7 a 27 días;Defunciones;Tenerife;4
1999;Mujeres;De 7 a 27 días;Defunciones;Lanzarote;0
1999;Mujeres;De 7 a 27 días;Defunciones;La Palma;0
1999;Mujeres;De 7 a 27 días;Defunciones;La Gomera;0
1999;Mujeres;De 7 a 27 días;Defunciones;Gran Canaria;3
1999;Mujeres;De 7 a 27 días;Defunciones;Fuerteventura;0
1999;Mujeres;De 7 a 27 días;Defunciones;El Hierro;0
1999;Mujeres;De 7 a 27 días;Defunciones;Canarias;7
1999;Mujeres;De 28 días a menos de 1 año;Defunciones;Tenerife;7
1999;Mujeres;De 28 días a menos de 1 año;Defunciones;Lanzarote;1
1999;Mujeres;De 28 días a menos de 1 año;Defunciones;La Palma;1
1999;Mujeres;De 28 días a menos de 1 año;Defunciones;La Gomera;1
1999;Mujeres;De 28 días a menos de 1 año;Defunciones;Gran Canaria;11
1999;Mujeres;De 28 días a menos de 1 año;Defunciones;Fuerteventura;0
1999;Mujeres;De 28 días a menos de 1 año;Defunciones;El Hierro;0
1999;Mujeres;De 28 días a menos de 1 año;Defunciones;Canarias;21
2000;Total;Menor de 1 año;Defunciones;Tenerife;63
2000;Total;Menor de 1 año;Defunciones;Lanzarote;5
2000;Total;Menor de 1 año;Defunciones;La Palma;1
2000;Total;Menor de 1 año;Defunciones;La Gomera;1
2000;Total;Menor de 1 año;Defunciones;Gran Canaria;47
2000;Total;Menor de 1 año;Defunciones;Fuerteventura;5
2000;Total;Menor de 1 año;Defunciones;El Hierro;0
2000;Total;Menor de 1 año;Defunciones;Canarias;122
2000;Total;95 años o más;Defunciones;Tenerife;136
2000;Total;95 años o más;Defunciones;Lanzarote;10
2000;Total;95 años o más;Defunciones;La Palma;30
2000;Total;95 años o más;Defunciones;La Gomera;11
2000;Total;95 años o más;Defunciones;Gran Canaria;125
2000;Total;95 años o más;Defunciones;Fuerteventura;6
2000;Total;95 años o más;Defunciones;El Hierro;4
2000;Total;95 años o más;Defunciones;Canarias;322
2000;Total;De 85 a 94 años;Defunciones;Tenerife;1189
2000;Total;De 85 a 94 años;Defunciones;Lanzarote;99
2000;Total;De 85 a 94 años;Defunciones;La Palma;204
2000;Total;De 85 a 94 años;Defunciones;La Gomera;38
2000;Total;De 85 a 94 años;Defunciones;Gran Canaria;1111
2000;Total;De 85 a 94 años;Defunciones;Fuerteventura;38
2000;Total;De 85 a 94 años;Defunciones;El Hierro;22
2000;Total;De 85 a 94 años;Defunciones;Canarias;2701
2000;Total;De 75 a 84 años;Defunciones;Tenerife;1446
